title,company,salary,industry,description
品牌渠道销售,知乎,15k-30k,"移动互联网,社交网络 / D轮及以上 / 500-2000人","“盘子大,福利好,领导好,发展空间大”"
广告投放,菲尼克斯互娱,8k-15k,"游戏,移动互联网 / 未融资 / 15-50人","“弹性工作,扁平管理,六险一金,项目分红”"
人事专员,武汉蜡烛,4k-6k,"移动互联网,金融 / 不需要融资 / 50-150人",“五险一金 营养工作餐”
java开发工程师,闻善科技,25k-45k,"移动互联网,硬件 / 不需要融资 / 50-150人",“正式编制”
行政专员,霖梓控股,5k-6k,"移动互联网,金融 / B轮 / 150-500人",“晋升发展、周末双休、福利多多、五险一金”
高级实施项目经理,明动软件,15k-25k,"企业服务,数据服务 / 上市公司 / 150-500人","“五险一金,平台”"
执行策划,上海风魂网络,6k-10k,游戏 / 未融资 / 50-150人,"“扁平化管理,策划大咖,水果下午茶,团建”"
Golang开发工程师,英语流利说,25k-50k,"移动互联网,教育 / 上市公司 / 2000人以上","“人工智能,硅谷文化,免费三餐,假期超长”"
移动端（android工程师）,基层医联网,7k-14k,"移动互联网,医疗健康 / 不需要融资 / 50-150人","“五险一金,餐补交通补,绩效,双休”"
网店店长/资深运营专员,爱斯基摩人家居有限公司,10k-15k,"电子商务,移动互联网 / 未融资 / 150-500人","“绩效奖金,节日福利”"
高级UI设计师（偏视觉）,懒人科技,15k-30k,移动互联网 / 天使轮 / 50-150人,"“朝阳产业,牛人聚集,团队和谐”"
营销策划,知乎,13k-26k,"移动互联网,社交网络 / D轮及以上 / 500-2000人","“盘子大,福利好,领导好,发展空间大”"
行政前台,霖梓控股,4k-6k,"移动互联网,金融 / B轮 / 150-500人",“晋升发展、周末双休、福利多多、五险一金”
系统架构师,明动软件,25k-50k,"企业服务,数据服务 / 上市公司 / 150-500人","“上市公司,五险一金,周末双休,年终多薪”"
游戏3D角色,上海风魂网络,10k-15k,游戏 / 未融资 / 50-150人,"“扁平化管理,福利多多,团队氛围好,动物园”"
算法实习生,英语流利说,4k-8k,"移动互联网,教育 / 上市公司 / 2000人以上","“AI,独角兽,纽交所上市,互联网”"
